mode,threads,iters,rep,time_s
naive,2,1000000,1,.013173062
naive,2,1000000,2,.017562872
naive,2,1000000,3,.015722483
naive,2,1000000,4,.014270390
naive,2,1000000,5,.028704968
naive,4,1000000,1,.010045720
naive,4,1000000,2,.015059188
naive,4,1000000,3,.011959042
naive,4,1000000,4,.009523249
naive,4,1000000,5,.007269711
naive,8,1000000,1,.005726015
naive,8,1000000,2,.008041317
naive,8,1000000,3,.010764774
naive,8,1000000,4,.005667151
naive,8,1000000,5,.008834050
mutex,2,1000000,1,.009559290
mutex,2,1000000,2,.007295865
mutex,2,1000000,3,.011653494
mutex,2,1000000,4,.007272174
mutex,2,1000000,5,.012218664
mutex,4,1000000,1,.007889513
mutex,4,1000000,2,.008393792
mutex,4,1000000,3,.008162243
mutex,4,1000000,4,.010781412
mutex,4,1000000,5,.008759815
mutex,8,1000000,1,.006189231
mutex,8,1000000,2,.006512200
mutex,8,1000000,3,.005425812
mutex,8,1000000,4,.010339635
mutex,8,1000000,5,.009664083
